Player,Pos,Age,Tm,No.,Ht,Div,Conf
0,Precious Achiuwa,C,23,TOR,5.0,6.666666666666667,Atl.,East
1,Steven Adams,C,29,MEM,4.0,6.916666666666667,SW,West
2,Bam Adebayo,C,25,MIA,13.0,6.75,SE,East
3,Ochai Agbaji,SG,22,UTA,30.0,6.416666666666667,NW,West
4,Santi Aldama,PF,22,MEM,7.0,6.916666666666667,SW,West
5,Nickeil Alexander-Walker,SG,24,UTA,6.0,6.5,NW,West
6,Grayson Allen,SG,27,MIL,12.0,6.333333333333333,Cen.,East
7,Jarrett Allen,C,24,CLE,31.0,6.916666666666667,Cen.,East
8,Jose Alvarado,PG,24,NOP,15.0,6.0,SW,West
9,Kyle Anderson,PF,29,MIN,5.0,6.75,NW,West
10,Giannis Antetokounmpo,PF,28,MIL,34.0,7.0,Cen.,East
11,Thanasis Antetokounmpo,SF,30,MIL,43.0,6.5,Cen.,East
12,Cole Anthony,PG,22,ORL,50.0,6.166666666666667,SE,East
13,OG Anunoby,SF,25,TOR,3.0,6.583333333333333,Atl.,East
14,Ryan Arcidiacono,PG,28,NYK,51.0,6.25,Atl.,East
15,Deni Avdija,SF,22,WAS,9.0,6.75,SE,East
16,Deandre Ayton,C,24,PHO,22.0,6.916666666666667,Pac.,West
17,Udoka Azubuike,C,23,UTA,20.0,6.833333333333333,NW,West
18,Marvin Bagley III,C,23,DET,35.0,6.916666666666667,Cen.,East
19,Patrick Baldwin Jr.,SF,20,GSW,7.0,6.75,Pac.,West
20,LaMelo Ball,PG,21,CHO,1.0,6.583333333333333,SE,East
21,Mo Bamba,C,24,ORL,11.0,7.0,SE,East
22,Paolo Banchero,PF,20,ORL,5.0,6.833333333333333,SE,East
23,Desmond Bane,SG,24,MEM,22.0,6.416666666666667,SW,West
24,Dalano Banton,PG,23,TOR,45.0,6.75,Atl.,East
26,Harrison Barnes,PF,30,SAC,40.0,6.666666666666667,Pac.,West
27,Scottie Barnes,PF,21,TOR,4.0,6.75,Atl.,East
28,RJ Barrett,SG,22,NYK,9.0,6.5,Atl.,East
29,Will Barton,SG,32,WAS,5.0,6.5,SE,East
31,Keita Bates-Diop,SF,27,SAS,31.0,6.666666666666667,SW,West
32,Nicolas Batum,PF,34,LAC,33.0,6.666666666666667,Pac.,West
33,Darius Bazley,PF,22,OKC,55.0,6.666666666666667,NW,West
34,Bradley Beal,SG,29,WAS,3.0,6.333333333333333,SE,East
35,Malik Beasley,SG,26,UTA,5.0,6.333333333333333,NW,West
36,MarJon Beauchamp,SF,22,MIL,0.0,6.5,Cen.,East
37,Dāvis Bertāns,PF,30,DAL,44.0,6.833333333333333,SW,West
38,Patrick Beverley,PG,34,LAL,21.0,6.083333333333333,Pac.,West
39,Saddiq Bey,SF,23,DET,41.0,6.583333333333333,Cen.,East
40,Khem Birch,C,30,TOR,24.0,6.75,Atl.,East
41,Goga Bitadze,C,23,IND,88.0,6.916666666666667,Cen.,East
42,Bismack Biyombo,C,30,PHO,18.0,6.666666666666667,Pac.,West
44,Bogdan Bogdanović,SG,30,ATL,13.0,6.5,SE,East
45,Bojan Bogdanović,PF,33,DET,44.0,6.583333333333333,Cen.,East
46,Bol Bol,PF,23,ORL,10.0,7.166666666666667,SE,East
47,Leandro Bolmaro,SG,22,UTA,10.0,6.5,NW,West
48,Devin Booker,SG,26,PHO,1.0,6.416666666666667,Pac.,West
49,Brandon Boston Jr.,SG,21,LAC,4.0,6.583333333333333,Pac.,West
50,Chris Boucher,PF,30,TOR,25.0,6.75,Atl.,East
51,James Bouknight,SG,22,CHO,2.0,6.416666666666667,SE,East
52,Tony Bradley,C,25,CHI,13.0,6.833333333333333,Cen.,East
53,Malaki Branham,SF,19,SAS,22.0,6.416666666666667,SW,West
54,Christian Braun,SG,21,DEN,0.0,6.583333333333333,NW,West
55,Mikal Bridges,SF,26,PHO,25.0,6.5,Pac.,West
56,Oshae Brissett,SF,24,IND,12.0,6.583333333333333,Cen.,East
57,Malcolm Brogdon,PG,30,BOS,13.0,6.416666666666667,Atl.,East
58,Dillon Brooks,SF,27,MEM,24.0,6.583333333333333,SW,West
59,Bruce Brown,SG,26,DEN,11.0,6.333333333333333,NW,West
60,Greg Brown III,PF,21,POR,4.0,6.75,NW,West
61,Jaylen Brown,SF,26,BOS,7.0,6.5,Atl.,East
65,Troy Brown Jr.,SF,23,LAL,7.0,6.5,Pac.,West
66,Jalen Brunson,PG,26,NYK,11.0,6.083333333333333,Atl.,East
67,Thomas Bryant,C,25,LAL,31.0,6.833333333333333,Pac.,West
68,Reggie Bullock,SF,31,DAL,25.0,6.5,SW,West
69,Alec Burks,SG,31,DET,5.0,6.5,Cen.,East
70,Jimmy Butler,SF,33,MIA,22.0,6.583333333333333,SE,East
73,Kentavious Caldwell-Pope,SG,29,DEN,5.0,6.416666666666667,NW,West
75,Vlatko Čančar,PF,25,DEN,31.0,6.666666666666667,NW,West
76,Clint Capela,C,28,ATL,15.0,6.833333333333333,SE,East
77,Vernon Carey Jr.,C,21,WAS,13.0,6.75,SE,East
78,Jevon Carter,PG,27,MIL,5.0,6.083333333333333,Cen.,East
79,Wendell Carter Jr.,C,23,ORL,34.0,6.833333333333333,SE,East
80,Alex Caruso,PG,28,CHI,6.0,6.333333333333333,Cen.,East
83,Kennedy Chandler,PG,20,MEM,1.0,6.0,SW,West
84,Max Christie,SG,19,LAL,10.0,6.5,Pac.,West
85,Josh Christopher,SG,21,HOU,9.0,6.416666666666667,SW,West
86,Brandon Clarke,PF,26,MEM,15.0,6.666666666666667,SW,West
87,Jordan Clarkson,SG,30,UTA,0.0,6.333333333333333,NW,West
88,Nic Claxton,C,23,BRK,33.0,6.916666666666667,Atl.,East
89,Amir Coffey,SG,25,LAC,7.0,6.583333333333333,Pac.,West
90,John Collins,PF,25,ATL,20.0,6.75,SE,East
91,Zach Collins,C,25,SAS,23.0,6.916666666666667,SW,West
92,Mike Conley,PG,35,UTA,11.0,6.083333333333333,NW,West
93,Pat Connaughton,SG,30,MIL,24.0,6.416666666666667,Cen.,East
94,Robert Covington,PF,32,LAC,23.0,6.583333333333333,Pac.,West
95,Torrey Craig,SF,32,PHO,0.0,6.583333333333333,Pac.,West
97,Cade Cunningham,PG,21,DET,2.0,6.5,Cen.,East
98,Seth Curry,SG,32,BRK,30.0,6.166666666666667,Atl.,East
99,Stephen Curry,PG,34,GSW,30.0,6.166666666666667,Pac.,West
100,Dyson Daniels,PG,19,NOP,11.0,6.666666666666667,SW,West
101,Anthony Davis,C,29,LAL,3.0,6.833333333333333,Pac.,West
102,Johnny Davis,SG,20,WAS,1.0,6.416666666666667,SE,East
103,Terence Davis,SG,25,SAC,3.0,6.333333333333333,Pac.,West
105,Dewayne Dedmon,C,33,MIA,21.0,7.0,SE,East
106,Matthew Dellavedova,PG,32,SAC,8.0,6.25,Pac.,West
107,DeMar DeRozan,SF,33,CHI,11.0,6.5,Cen.,East
110,Hamidou Diallo,SG,24,DET,6.0,6.416666666666667,Cen.,East
112,Ousmane Dieng,SF,19,OKC,13.0,6.833333333333333,NW,West
113,Spencer Dinwiddie,PG,29,DAL,26.0,6.416666666666667,SW,West
114,Donte DiVincenzo,SG,26,GSW,0.0,6.333333333333333,Pac.,West
115,Luka Dončić,PG,23,DAL,77.0,6.583333333333333,SW,West
117,Luguentz Dort,SG,23,OKC,5.0,6.25,NW,West
118,Ayo Dosunmu,SG,23,CHI,12.0,6.416666666666667,Cen.,East
122,Goran Dragić,PG,36,CHI,7.0,6.25,Cen.,East
123,Andre Drummond,C,29,CHI,3.0,6.833333333333333,Cen.,East
124,Chris Duarte,SF,25,IND,3.0,6.5,Cen.,East
126,Kevin Durant,PF,34,BRK,7.0,6.833333333333333,Atl.,East
127,Jalen Duren,C,19,DET,0.0,6.833333333333333,Cen.,East
