Player,Pos,Age,Tm,Player-additional
Precious Achiuwa,C,23,TOR,achiupr01
Steven Adams,C,29,MEM,adamsst01
Bam Adebayo,C,25,MIA,adebaba01
Ochai Agbaji,SG,22,UTA,agbajoc01
Santi Aldama,PF,22,MEM,aldamsa01
Nickeil Alexander-Walker,SG,24,UTA,alexani01
Grayson Allen,SG,27,MIL,allengr01
Jarrett Allen,C,24,CLE,allenja01
Jose Alvarado,PG,24,NOP,alvarjo01
Kyle Anderson,PF,29,MIN,anderky01
Giannis Antetokounmpo,PF,28,MIL,antetgi01
Thanasis Antetokounmpo,SF,30,MIL,antetth01
Cole Anthony,PG,22,ORL,anthoco01
OG Anunoby,SF,25,TOR,anunoog01
Ryan Arcidiacono,PG,28,NYK,arcidry01
Deni Avdija,SF,22,WAS,avdijde01
Deandre Ayton,C,24,PHO,aytonde01
Udoka Azubuike,C,23,UTA,azubuud01
Marvin Bagley III,C,23,DET,baglema01
Patrick Baldwin Jr.,SF,20,GSW,baldwpa01
LaMelo Ball,PG,21,CHO,ballla01
Mo Bamba,C,24,ORL,bambamo01
Paolo Banchero,PF,20,ORL,banchpa01
Desmond Bane,SG,24,MEM,banede01
Dalano Banton,PG,23,TOR,bantoda01
Dominick Barlow,SF,19,SAS,barlodo01
Harrison Barnes,PF,30,SAC,barneha02
Scottie Barnes,PF,21,TOR,barnesc01
RJ Barrett,SG,22,NYK,barrerj01
Will Barton,SG,32,WAS,bartowi01
Charles Bassey,C,22,SAS,bassech01
Keita Bates-Diop,SF,27,SAS,bateske01
Nicolas Batum,PF,34,LAC,batumni01
Darius Bazley,PF,22,OKC,bazleda01
Bradley Beal,SG,29,WAS,bealbr01
Malik Beasley,SG,26,UTA,beaslma01
MarJon Beauchamp,SF,22,MIL,beaucma01
Dāvis Bertāns,PF,30,DAL,bertada01
Patrick Beverley,PG,34,LAL,beverpa01
Saddiq Bey,SF,23,DET,beysa01
Khem Birch,C,30,TOR,birchkh01
Goga Bitadze,C,23,IND,bitadgo01
Bismack Biyombo,C,30,PHO,biyombi01
Buddy Boeheim,PG,23,DET,boehebu01
Bogdan Bogdanović,SG,30,ATL,bogdabo01
Bojan Bogdanović,PF,33,DET,bogdabo02
Bol Bol,PF,23,ORL,bolbo01
Leandro Bolmaro,SG,22,UTA,bolmale01
Devin Booker,SG,26,PHO,bookede01
Brandon Boston Jr.,SG,21,LAC,bostobr01
Chris Boucher,PF,30,TOR,bouchch01
James Bouknight,SG,22,CHO,bouknja01
